t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z
3.1,2.67575345918379,0.550353444859427,1,0.999632986843911,-0.0203404976240468,-0.00378187519384553,0.0174886588950233,-0.0451918276165659,0.500341849985731,1.28846602189313e-16,-0.0198985610207244,-0.0133319393879661,0.0324992728776159,-0.081222074965963,0.397977129239354,1.09730631453657e-16,0,0,0
3.2,2.67080431684268,0.602408345518919,1,0.999579279710726,-0.0212686933164753,-0.00448638421260882,0.0192036094079552,-0.0540387450545264,0.541053819155991,1.40194489401927e-16,-0.0173185074335746,-0.0156491224117028,0.035429254977848,-0.0960901355597585,0.415818779406852,1.17241570374334e-16,0,0,0
3.3,2.66489228962534,0.658618748503683,1,0.99952090699958,-0.0220380149383071,-0.00530889316040774,0.0210736333300221,-0.0644892020261837,0.583398055431781,1.52296096367719e-16,-0.0135742605654352,-0.0183116021505131,0.0385766296301086,-0.113339002581744,0.430426016300958,1.2478710279669e-16,0,0,0
3.4,2.65784465404245,0.719129642052364,1,0.999458180000216,-0.022583771051569,-0.00626557260116108,0.0231097883098411,-0.0767952817747014,0.626988091693,1.65149085630382e-16,-0.00841862764762846,-0.0213563873320578,0.041949268900191,-0.133250111572701,0.440496527927354,1.32246997353888e-16,0,0,0
3.5,2.64946206043386,0.784040427354228,1,0.999391434242724,-0.0228281923699426,-0.0073738880890717,0.0253231232244785,-0.0912374980943419,0.671294260989324,1.78737759767357e-16,-0.00158001177176303,-0.0248207674959415,0.0455538879530715,-0.156109273337526,0.4444645032967,1.39473810965563e-16,0,0,0
3.6,2.63951568277067,0.853389242380818,1,0.99932083954138,-0.022679348890213,-0.00865246000136522,0.0277243886885103,-0.108124779814108,0.715616213962983,1.93030202466398e-16,0.00723071902213328,-0.0287409654050967,0.049395749460481,-0.18219716642744,0.440479169141806,1.46290189026427e-16,0,0,0
3.7,2.62774442213187,0.927134443897439,1,0.999246066562034,-0.0220305182949344,-0.0101208313646461,0.0303236458304273,-0.127793365835397,0.759053721718865,2.07975170133658e-16,0.0183087193829986,-0.0331501271347807,0.0534783138218034,-0.211777012070198,0.426392747725271,1.52486616950778e-16,0,0,0
3.8,2.6138522872774,1.00513313164588,1,0.999165757856324,-0.0207602714416887,-0.0117991114927324,0.0331297513580676,-0.150604317788976,0.800476961337832,2.23498792319543e-16,0.031937692847309,-0.0380753282516681,0.057802809626415,-0.245079229072456,0.39976313128684,1.5781989415319e-16,0,0,0
3.9,2.59750610580954,1.08711674680459,1,0.999076752234476,-0.018733612025994,-0.0137074496269248,0.0361496991660474,-0.176939344449717,0.838498068008389,2.39501168679944e-16,0.0483650479546862,-0.043533148279457,0.0623676883798218,-0.282283022690689,0.35787769844576,1.62012646824387e-16,0,0,0
4,2.57833374989271,1.17266398905032,1,0.998973027076645,-0.0158045823774786,-0.0158652746468478,0.0393878078798161,-0.207194637854908,0.871446429994582,2.55852983675318e-16,0.0677683253232596,-0.0495232399332846,0.0671679193886165,-0.323495080178424,0.297805644165088,1.64754230421942e-16,0,0,0
